Data Size,Time in millisecond
236786, 5275
9548, 4916305
2052, 7461968
4755, 10832333
8435, 15308639
22329, 18969011
31650, 22283172
7335, 25078434
46917, 29108182
87904, 33387823
21935, 36259103
903, 38779239
562, 41818378
154, 42578973
9545, 1191862439
2052, 1194340124
4755, 1196854465
8435, 1200450032
22329, 1203131654
31650, 1205840445
7335, 1208687830
46917, 1212050491
87904, 1215477622
21935, 1219690199
903, 1223582750
562, 1227384818
154, 1228657243
9697, 1325537407
1152, 1328687937
562, 1331854404
562, 1335834199
562, 1338645874
562, 1341888003
562, 1345516564
562, 1348898765
562, 1351880369
562, 1355673904
562, 1359162078
562, 1362997791
154, 1364745105
9693, 1368430901
1152, 1372581528
562, 1375518199
562, 1379108807
562, 1382644091
562, 1387013017
562, 1391848742
562, 1396074302
562, 1400400001
562, 1404114165
562, 1407461476
562, 1410059261
154, 1410825388
9707, 1414398567
1152, 1417982654
562, 1422102579
562, 1426243279
562, 1429769892
562, 1434520076
562, 1439227969
562, 1443568054
562, 1447942620
562, 1452551841
562, 1456082054
562, 1459378302
154, 1460704949
9696, 1465184040
1152, 1469810087
562, 1474942204
562, 1479466924
562, 1484599273
562, 1488126415
562, 1494051980
562, 1498971475
562, 1503212606
562, 1507964775
562, 1513818769
562, 1518803782
154, 1520363569
9696, 1525963376
1152, 1530536395
562, 1534835517
562, 1539487468
562, 1544773873
562, 1549672057
562, 1554967358
562, 1560282219
562, 1564836451
562, 1570148549
562, 1574791072
562, 1579047112
154, 1580249643
9654, 1584740114
1152, 1588990189
562, 1593601090
562, 1597728649
562, 1603021949
562, 1608339269
562, 1612790431
562, 1617921311
562, 1623387232
562, 1628577651
562, 1632845385
562, 1637539573
154, 1639255497
9629, 1645149986
1152, 1650738814
562, 1655416677
562, 1660789570
562, 1665600062
562, 1669757633
562, 1676086423
562, 1681662525
562, 1686739648
9698, 1691793033
1152, 1697399139
562, 1701448557
562, 1705907737
562, 1712366986
562, 1717702192
562, 1722810054
562, 1728460729
562, 1733094895
562, 1737257085
562, 1742256819
562, 1747737245
154, 1750184648
9697, 1756369510
1152, 1762760443
562, 1768689955
562, 1774049028
562, 1779018532
562, 1783198644
562, 1789422593
11672, 1796239526
1168, 1802366117
562, 1807374878
562, 1812420838
562, 1817706746
562, 1823029289
562, 1827405393
562, 1833532124
562, 1838996950
562, 1844403790
562, 1849765695
562, 1854260339
154, 1855247022
11338, 1859537808
1168, 1865150610
562, 1871045142
562, 1877072930
562, 1881435375
562, 1887167294
562, 1891968157
11360, 1898515196
1168, 1902823305
562, 1907375299
562, 1913747525
562, 1919527085
562, 1924036818
562, 1929602955
562, 1935151891
562, 1939270127
562, 1944170310
562, 1949477694
1023, 1954791382
1657, 1956397219
11382, 1962095420
1168, 1967509862
562, 1972367287
562, 1977526952
562, 1983000410
562, 1987079338
562, 1991368885
11399, 1997527117
1168, 2001809258
562, 2005936633
562, 2009939402
562, 2014265327
562, 2019020511
562, 2022675823
562, 2026015924
562, 2028747798
562, 2033424998
562, 2038244262
1023, 2042852993
1657, 2043830793
11413, 2048596836
1168, 2052654166
562, 2057126795
562, 2061456916
562, 2065984919
562, 2069565699
562, 2073193912
11423, 2079889495
1977, 2085761160
1835, 2089460548
990, 2093137369
571, 2097007884
571, 2101663088
571, 2106008155
571, 2108933349
571, 2112702499
571, 2116250503
571, 2120483039
1212, 2124515400
2146, 2125301973
11297, 2129534328
7657, 2133824848
11328, 2137587569
4451, 2141117659
571, 2143949012
571, 2147098536
571, 2152991481
571, 2158169933
571, 2162920541
571, 2166709122
571, 2170642138
1215, 2173828089
2144, 2174861700
11312, 2178732372
8521, 2182894299
14137, 2186353297
9356, 2189962959
2923, 2196504233
5195, 2200673161
6225, 2204606497
6526, 2207988407
6048, 2211684880
4778, 2216051096
4125, 2220055326
5120, 2223161590
2605, 2224267586
11308, 2227740480
10531, 2233318785
17507, 2239188310
14701, 2242926079
7063, 2246756638
11109, 2250908266
12029, 2254011501
13259, 2257315031
8071, 2261702318
10754, 2264982556
13265, 2269460200
12279, 2273367949
3191, 2274359070
11288, 2278255230
11030, 2282516919
21130, 2286361150
16493, 2290179289
8526, 2293166236
12270, 2296542223
14433, 2301575452
14950, 2306060942
9721, 2311160653
12436, 2315918810
14480, 2319725690
13240, 2322883968
3554, 2323728555
11292, 2326515413
13972, 2330389895
26370, 2335818744
22878, 2340170818
14052, 2344728554
19016, 2349572687
20605, 2353450709
20924, 2357491829
14965, 2360884157
15938, 2365770315
18403, 2370335980
17111, 2373546270
4213, 2374462490
11789, 2379386784
15206, 2384824567
31238, 2389924589
26939, 2393944584
17412, 2398429527
22944, 2403186009
24097, 2407001631
25459, 2410967158
17614, 2414769570
18157, 2420074914
22169, 2425003061
20704, 2428938105
3482, 2429821445
11965, 2433482511
16257, 2437114063
33009, 2441163379
29051, 2444905809
18300, 2449164454
24393, 2453978810
26256, 2457223637
27122, 2461278515
18867, 2466650762
19283, 2470722287
23226, 2474696727
22302, 2478644161
3945, 2479684358
11912, 2483447435
19003, 2487542387
37081, 2490687630
33173, 2493804300
23370, 2497495636
29591, 2502991912
30466, 2507700218
30903, 2511985412
21057, 2515818731
20497, 2519486870
25513, 2522412197
24307, 2525596353
4200, 2526920153
11968, 2532062536
20175, 2536576440
38302, 2541575099
34591, 2545979631
23922, 2550250648
30104, 2553794340
31029, 2556901816
32123, 2560770504
21970, 2565060994
21428, 2569769126
26814, 2574169856
25156, 2578494168
4366, 2579492020
11849, 2584390030
21148, 2588614584
39680, 2593169917
36763, 2597773627
25996, 2601509837
32591, 2604685537
32858, 2609609935
33859, 2615144761
23513, 2620685490
22920, 2625864760
11777, 2629941864
24502, 2634650536
42439, 2637993314
39037, 2641928475
28372, 2645835034
34408, 2651196072
35329, 2655656322
35529, 2660654463
25480, 2664655016
24437, 2668707941
30152, 2672520934
27228, 2676242569
4635, 2677452762
11613, 2682285710
28273, 2686928407
50674, 2691571623
46293, 2696625487
32695, 2702770523
38972, 2706800252
40948, 2710823072
11582, 2714606115
27634, 2719315357
51561, 2723149020
47299, 2727089842
34168, 2732219084
41011, 2737843054
41830, 2744427162
43773, 2750025485
32313, 2753818899
31045, 2758766404
38108, 2764572200
31404, 2770001613
5540, 2770944903
11745, 2774539325
28835, 2779570073
52759, 2785280143
50140, 2789258825
36213, 2793080876
44386, 2797000630
46948, 2801526919
12044, 2805026681
31454, 2808151779
56586, 2812058450
54558, 2816799478
39359, 2822444690
49425, 2828771660
51485, 2833888071
52191, 2838773409
37753, 2842405323
35431, 2846347308
43028, 2850279095
40793, 2854448477
6723, 2855180767
11953, 2857911260
34257, 2862949631
59147, 2869099587
57621, 2873286504
40521, 2877657456
50904, 2882830413
53974, 2888319132
55157, 2892464621
39164, 2896687482
36614, 2901939384
44225, 2907151307
41793, 2912410224
7460, 2913522374
11953, 2918052423
35659, 2921219719
64320, 2925382546
61423, 2930084009
45178, 2935787928
55537, 2940019343
58645, 2944168585
59351, 2951120209
41455, 2955996227
37993, 2959845523
47724, 2964139094
44035, 2969408964
8187, 2970558586
11953, 2973768127
11953, 2976703318
37604, 2980483572
91080, 2986100094
87407, 2991704285
51813, 2995930541
60533, 3001196459
67573, 3006202342
69287, 3010806289
51643, 3015965122
44528, 3020117078
55253, 3024554879
50844, 3029874061
8800, 3030683411
11865, 3034852493
41160, 3040869189
96125, 3046134322
91697, 3050751945
56121, 3055243064
64617, 3060821038
73520, 3066551173
11865, 3071532887
42997, 3075722962
97336, 3081155220
94556, 3086456480
59294, 3092024046
67527, 3097101266
77312, 3100977920
79172, 3104388733
58324, 3108080366
48194, 3113320903
59946, 3118196291
59603, 3121945555
10440, 3122735434
11865, 3126525466
44382, 3130936858
102517, 3136552980
96979, 3140730541
63536, 3144504649
71829, 3148799852
80369, 3154891204
82629, 3158836060
61256, 3162891685
51574, 3167824415
63448, 3172143283
62068, 3175517360
10410, 3176356093
11865, 3180180925
46161, 3187242292
104026, 3192096645
102142, 3198179939
66474, 3202794599
76736, 3208919927
85074, 3214104766
88550, 3218656645
65615, 3222204319
54221, 3226366482
66878, 3230810671
67111, 3234368198
11581, 3235387488
11865, 3238683274
47154, 3242232867
104759, 3246198143
103923, 3251563687
67687, 3255943086
78376, 3260269762
88829, 3263936203
91665, 3269367381
68308, 3275951059
55370, 3280198341
70172, 3284412362
70882, 3290067445
12259, 3291060871
11865, 3294188624
49871, 3298091720
105166, 3302295663
106527, 3306219432
69476, 3309487767
80704, 3314875091
92737, 3320979434
95781, 3325008901
11865, 3329355229
50777, 3333971987
111011, 3338476669
109589, 3342056858
75657, 3346289510
86001, 3352385000
97203, 3358758476
99211, 3364125489
75876, 3368695816
61454, 3372289124
75452, 3375787982
78632, 3380063502
13385, 3381239384
11865, 3385746809
53310, 3389226177
111692, 3392781974
111714, 3398908465
76847, 3404069024
88034, 3409505972
100094, 3415346177
11865, 3420459055
54397, 3424132302
113465, 3427861983
113345, 3431750721
78849, 3436910440
89886, 3440874893
102369, 3445025509
106300, 3449661690
79828, 3454144423
61481, 3457491629
79161, 3461583777
85278, 3468154529
14511, 3469353363
11865, 3472587233
55721, 3476739083
114324, 3481342214
116701, 3486043491
80951, 3489738121
93626, 3493147791
106007, 3497384595
11865, 3503105547
57229, 3509160165
115399, 3515197419
116920, 3520112232
82351, 3524828620
95206, 3529088373
107576, 3534761874
110132, 3540087765
83086, 3544671630
67033, 3550489471
82831, 3555693305
90732, 3559618705
15160, 3560761107
11865, 3564144840
57999, 3568611758
117343, 3572811154
118883, 3576353724
84204, 3580012030
97364, 3585065731
108937, 3590911316
11865, 3596692809
59976, 3601553396
119778, 3605695574
121948, 3610963957
86580, 3615453831
99692, 3618887004
112955, 3623982353
117708, 3628826794
88652, 3636188152
68099, 3640910492
87542, 3646832585
