Data Size,Time in millisecond
30844, 633433193
3140, 633601617
7696, 634065809
18520, 634679885
26056, 635442907
40356, 636691147
16400, 637128385
30976, 638672016
61936, 640710523
29484, 641610503
1568, 641835475
836, 642318465
604, 642435054
24540, 1189431772
3140, 1189532074
7696, 1189833782
18520, 1190326347
26056, 1190756576
40356, 1191573259
16400, 1191843631
30976, 1193449423
61936, 1194905401
29484, 1195483167
1568, 1195634958
836, 1195980406
604, 1196035512
23456, 1227198295
3152, 1228453166
7696, 1229796467
18520, 1231036503
26056, 1232336914
40356, 1235793124
16400, 1237387997
30976, 1243755080
61936, 1245470682
29484, 1246903327
1568, 1247214409
836, 1247454371
604, 1247529613
23276, 1279726058
1584, 1283298955
836, 1284223420
836, 1285904249
836, 1286499863
836, 1287102098
836, 1288461888
836, 1289323872
836, 1300652176
836, 1301400544
836, 1301784737
836, 1301889711
604, 1301982937
23256, 1325373468
1584, 1326083553
836, 1326448257
836, 1328769189
836, 1330169690
836, 1335957900
836, 1336252950
836, 1336773101
836, 1337090987
836, 1337650156
836, 1338168376
836, 1339027139
604, 1339507440
22884, 1374453604
1584, 1375825179
836, 1380282673
836, 1380404174
836, 1380680396
836, 1380948848
836, 1381223848
836, 1381481732
836, 1381760116
836, 1382192107
836, 1392555870
836, 1392747178
604, 1392808187
22816, 1414313094
1584, 1419374942
836, 1419965273
836, 1421156973
836, 1422596841
836, 1428031364
836, 1428173625
836, 1428535360
836, 1428748923
836, 1429059276
836, 1429464842
836, 1430027147
604, 1430156108
23028, 1465409583
1584, 1465614381
836, 1465902773
836, 1466599980
836, 1467020048
836, 1468151971
836, 1469235954
836, 1470640053
836, 1472011740
836, 1473770269
836, 1475098370
836, 1476341649
604, 1477328228
24080, 1511255194
1584, 1511819287
836, 1512648331
836, 1513311183
836, 1514278143
836, 1516123458
836, 1517676327
836, 1519082153
836, 1520722564
836, 1521803166
836, 1523463363
836, 1524856062
604, 1526021876
28228, 1569849704
1696, 1570163426
836, 1571287514
836, 1573441697
836, 1576002433
836, 1577678088
836, 1580126249
836, 1580843415
836, 1582807737
836, 1584319720
836, 1584449786
1844, 1585398559
3624, 1585620780
28008, 1614688277
1696, 1614871014
836, 1615815021
836, 1616133344
836, 1617687286
836, 1618961422
836, 1619852832
836, 1620554889
836, 1621682258
836, 1623295070
836, 1624631937
1844, 1626629310
3624, 1626859310
28052, 1655210722
1696, 1655657105
836, 1657342933
836, 1658532607
836, 1662168633
836, 1664414655
836, 1664613128
836, 1665165385
836, 1665531201
836, 1666006652
836, 1666277211
1844, 1666649016
3624, 1666838961
27224, 1697888435
1696, 1698006402
836, 1698235497
836, 1698446967
836, 1698741504
836, 1699066723
836, 1699343801
836, 1699649150
836, 1699978176
836, 1700232739
836, 1700480288
1844, 1700821766
3624, 1701003559
27152, 1761121815
1696, 1762271645
836, 1763400561
836, 1765334245
836, 1766190588
836, 1767359661
836, 1767701172
836, 1768604733
836, 1769168376
836, 1772249079
836, 1772752732
1844, 1775574886
3624, 1776517278
28684, 1827012612
21788, 1828472599
25596, 1829456646
9364, 1830037987
1556, 1834656249
1556, 1834901799
1556, 1835044538
1556, 1835600788
1556, 1836028209
1556, 1836361629
1556, 1836719729
3212, 1837331300
4676, 1837666600
27428, 1862724761
21788, 1863455792
25596, 1864756122
9364, 1865747406
1556, 1866716786
1556, 1868892020
1556, 1870130736
1556, 1873037497
1556, 1873584247
1556, 1875876505
1556, 1876085038
3212, 1877039454
4676, 1880069044
27868, 1921607958
23040, 1923720877
32708, 1926373984
12976, 1930506819
3172, 1936642964
3848, 1936831714
4852, 1936895453
5216, 1938196467
5088, 1941108606
4260, 1944003462
3868, 1945849301
4228, 1948119995
4676, 1948309870
27244, 1980136584
37172, 1981928439
51044, 1983600886
36024, 1985256686
35788, 1987023657
39172, 1989513468
35420, 1991398650
32456, 1993263212
26452, 1994515237
33332, 1997584179
38432, 1999722440
48564, 2002641407
8180, 2003155451
27244, 2022527880
37172, 2023561351
51044, 2025996887
36024, 2028819276
35788, 2030882304
39172, 2033645646
35420, 2035092073
32456, 2037472038
26452, 2039204156
33580, 2041304030
38736, 2043004449
48496, 2046144051
8620, 2046354853
28176, 2057819774
37172, 2060867891
51044, 2063139168
36024, 2065207406
35788, 2068266699
39172, 2070231054
35420, 2072818343
32456, 2074075338
26452, 2075657343
34224, 2078528388
39408, 2081854930
48496, 2086925024
8620, 2087144154
27424, 2123928320
46600, 2125570814
65376, 2128460130
51684, 2130631579
54520, 2133013111
61536, 2135384738
57512, 2137633001
51840, 2140013985
40892, 2141611162
45668, 2144901181
55044, 2148325963
75780, 2151775533
14292, 2152344832
27480, 2161128139
48168, 2163517626
68152, 2166079557
55316, 2167998531
57924, 2170044544
65716, 2171722371
61972, 2174762078
55888, 2177819806
43944, 2178736750
48412, 2181720024
58468, 2184238462
80320, 2187231437
14864, 2187808450
27480, 2215034394
50824, 2215874586
73420, 2217816130
61396, 2219005138
65424, 2220349300
73228, 2222188907
69212, 2225154812
