Data Size,Time in millisecond
8198, 1258769815
33214, 1315910250
30275, 1358455281
31027, 1370472890
4631, 1380150201
7836, 1396013109
4582, 1411778315
7725, 1429100367
80, 1444723289
2468, 1461070432
385, 1477070230
2436, 1494962489
263, 1510143949
31790, 1534506239
2026, 1542905942
205, 1562904287
170705, 1589667229
217, 1591937329
176080, 1632659153
51486, 1635110501
609, 1646004150
20922, 1663493885
2911, 1678449284
2867, 1694689469
2885, 1711696853
2813, 1731168194
3028, 1747919867
3523, 1763988865
3705, 1780517316
4046, 1796857452
4254, 1812721608
4336, 1829018591
4307, 1845469572
4306, 1861168981
4323, 1877736538
4325, 1894127702
4388, 1910709497
4344, 1926601525
4456, 1943545856
4436, 1959500548
4503, 1975215757
4568, 1991375036
4518, 2008825120
4726, 2024355643
461, 2040494603
485, 2055921765
380, 2072922162
386, 2272114524
175137, 2662848577
175137, 15434239692
