Data Size,Time in millisecond
10642, 1850
1651, 262697
2857, 507895
2331, 582290
3179, 648001
3293, 705259
3694, 768766
3936, 839461
4314, 908542
3572, 1255705
1651, 2311177
5911, 3031447
914, 3270655
11164, 4323447
1219, 4864149
2513, 5355965
1977, 5963262
2803, 6776535
3065, 7483591
3449, 9900880
3823, 10788167
4175, 12926313
12442, 13520164
1219, 13889570
2760, 14345666
2187, 14757417
2823, 15214247
3587, 15685623
4017, 16096572
4068, 16572992
4505, 16972228
3293, 17350171
1219, 17781688
6178, 18179635
486, 20221310
14491, 54735182
1219, 56986879
3098, 57781008
2862, 59489239
3185, 62399945
4209, 64604521
4716, 69659528
4892, 72748465
5410, 76924126
3601, 81284413
1219, 84564295
6742, 85974565
490, 87697181
14491, 124650750
1219, 125228994
3042, 126049918
3079, 126704247
3379, 128093158
4137, 128933068
4774, 130080896
4872, 131279098
5320, 132824584
4189, 133972547
1219, 136951103
7705, 138517976
501, 138622138
14491, 180338003
1219, 181683470
3139, 182160668
3096, 183272297
3867, 185788038
4236, 186057599
4897, 186408727
5086, 186746203
5796, 187082433
4371, 187591752
1219, 190421622
7600, 193969268
501, 196008807
14491, 224698284
1219, 225369691
3268, 226269106
3207, 227095890
3928, 228427788
4262, 230775679
5235, 232259547
5380, 233567202
6166, 235991125
4506, 237245905
1219, 240892897
7845, 241384312
501, 241462148
14491, 271451229
1219, 274199121
3268, 281863903
3207, 285005230
3928, 285368731
4262, 285762879
5235, 286166696
5380, 286668537
6166, 287135832
4506, 287571452
1219, 287913647
7845, 288349663
501, 288512488
14491, 299534059
1219, 321282792
3582, 321595156
4163, 321935152
4173, 322289588
4387, 322635866
5512, 323016436
5612, 323364925
6235, 323730913
4547, 327828026
1219, 328459822
7608, 329137646
501, 329299227
14491, 350526260
1219, 350810012
3582, 351136855
4163, 351657764
4173, 351951183
4387, 352328065
5512, 352669043
5612, 352975481
6235, 353386351
4621, 380127661
1219, 383144806
7703, 385805901
501, 386093475
14491, 427522183
1219, 428686449
3609, 429128672
4264, 430066838
4344, 430929830
4287, 431786608
5564, 432753511
5618, 435204547
6160, 443507805
4592, 444240599
1219, 445723919
7703, 446021372
501, 446154584
14491, 460524978
1219, 460803038
3619, 461146356
4388, 461577143
4518, 461960497
4220, 462392144
5560, 462787680
5573, 463193920
14491, 497316699
1219, 499908435
3610, 501010512
4430, 502800514
4626, 504400506
4311, 505409412
5660, 507598344
5518, 508251007
6417, 508992917
4753, 510417971
1219, 510880962
7844, 511304200
501, 511411889
14491, 526717883
1219, 526970551
3605, 527314083
14491, 557005083
1219, 557322724
3623, 557756038
4497, 558828445
4893, 561006872
4330, 564264500
5780, 566215363
5772, 567660614
6580, 569111675
4912, 569605078
1219, 570974964
7836, 572357943
501, 572786914
14491, 605449935
1219, 608451483
3623, 610920517
4497, 612882236
4884, 615407613
4331, 620182014
5780, 627043474
5772, 627401645
6580, 627896232
4912, 628334166
1219, 630959700
7875, 631871203
501, 632140203
14491, 674793875
1219, 675263466
3598, 676688648
4361, 677648479
5002, 679354529
4445, 680884746
5941, 681797909
5726, 682834933
6795, 683624127
4875, 684726068
1219, 686687725
7875, 687609524
501, 687706166
14491, 707404882
1219, 707826053
3569, 708838759
4241, 711057992
5067, 712604535
4430, 713911561
5905, 715589918
5711, 716787628
6759, 718069424
4995, 718982142
1219, 719614518
7906, 720787541
501, 722446115
14491, 753049202
1219, 755858666
3537, 758899354
4199, 760724067
5174, 762987357
4305, 764422923
5797, 766068306
5754, 768454321
6766, 770802995
5005, 772055393
1219, 776081152
7874, 776336852
501, 776371378
14491, 827795479
1219, 828386110
3607, 828772161
4148, 829210651
5144, 829649266
4202, 830040799
5645, 830500899
5682, 830908550
6610, 831344659
4828, 831783767
1219, 832122601
7874, 832562475
501, 832647161
14491, 887901665
1219, 888123274
3669, 888500168
4565, 888943998
5412, 889332900
4558, 889734670
5745, 890137142
5112, 890538417
6894, 891011022
4946, 891394508
1219, 891727823
7907, 892131190
501, 892224393
14491, 923708603
1219, 924063420
3669, 924451705
4566, 924836022
5410, 925273621
4559, 925659702
5753, 926067112
5112, 926458855
6887, 926872998
4948, 927261146
1219, 927646041
7879, 928047668
501, 928148506
14491, 968501152
1219, 968793674
3253, 969246108
4693, 970516850
3257, 970901863
2901, 971652339
3852, 972069032
3293, 972492325
3041, 974733137
2937, 975111660
1219, 975471857
7913, 975898402
501, 975981531
14491, 1020905205
1219, 1021098841
3218, 1021472594
4649, 1021839197
3200, 1022118667
2875, 1022499445
3800, 1023074528
3307, 1023465863
3055, 1023887329
3006, 1024288394
1219, 1024648089
7654, 1025066217
501, 1025163280
14491, 1052549153
1219, 1053670993
3218, 1056632957
4649, 1057039993
3200, 1057442352
2875, 1058029219
3800, 1058823660
3307, 1059660940
3055, 1060410098
3006, 1061417328
1219, 1061937609
7847, 1062832936
501, 1062957542
14491, 1085409939
1219, 1085735643
3186, 1086116117
4659, 1086546213
3209, 1086929965
2859, 1087330448
3749, 1087732881
3293, 1088131563
3156, 1088524631
3061, 1088992325
1219, 1089360493
7659, 1089753255
501, 1089847016
14491, 1119811724
1219, 1120618647
3169, 1122409206
4659, 1122964486
3212, 1123824500
2854, 1128462896
3708, 1133105322
3270, 1133481868
3149, 1133899667
3029, 1134300686
1219, 1134639538
7659, 1135079828
501, 1135161001
14491, 1153809445
1219, 1154146149
3166, 1154532956
4761, 1154948456
3170, 1155324178
2863, 1155716227
14491, 1197360251
1219, 1198239324
3131, 1199014149
4683, 1199498971
3110, 1200136424
2883, 1200411218
3503, 1200695662
3277, 1200931423
3006, 1201531139
2913, 1201879207
1219, 1202210832
7892, 1202585619
501, 1202674974
14491, 1248308530
1219, 1248578334
3126, 1248886823
4819, 1249221338
3017, 1249548285
2740, 1249867813
3546, 1250200409
3108, 1250544931
2836, 1250795140
2866, 1251058674
1219, 1251291942
7682, 1251618691
501, 1251669286
14491, 1298325119
1219, 1298798728
3185, 1299217738
4850, 1300650623
2898, 1300872663
2657, 1301163611
3472, 1301441065
3036, 1301724231
2843, 1302019695
2878, 1302307236
1219, 1302634845
7924, 1302918300
501, 1302981598
14491, 1334406491
1219, 1334978566
3195, 1335596923
4892, 1335957058
2773, 1336278077
2591, 1336589210
3570, 1336935240
3009, 1337276948
2821, 1337589971
2959, 1337885477
1219, 1338164774
7836, 1338461337
501, 1338544532
14491, 1392559467
1219, 1392715902
3088, 1392938169
4797, 1393182430
2645, 1393404127
2525, 1393608606
3464, 1393848350
2933, 1394060061
2847, 1394288638
3016, 1394501166
1219, 1394746436
7927, 1394966788
501, 1395038155
14491, 1420741770
1219, 1421399893
3129, 1422772346
4836, 1423778804
2594, 1424321475
2675, 1424967458
3516, 1425373510
3198, 1428315950
2950, 1429408163
3198, 1433544816
1219, 1433908676
7927, 1434640270
501, 1434733503
14491, 1475389095
1219, 1475659403
3119, 1476006018
4849, 1476463764
2619, 1476726479
2924, 1477034692
3534, 1477721142
3261, 1477944705
2996, 1478183339
3187, 1478460574
1219, 1478777459
7776, 1479158985
501, 1479245422
14041, 1519301916
1219, 1521049505
3119, 1521405407
4849, 1521967457
2619, 1522440969
2924, 1523457816
3534, 1524130955
3261, 1524768740
2996, 1525296801
3187, 1525776790
1219, 1526264916
7304, 1526773407
496, 1526978171
11552, 1562349051
1219, 1564244491
3183, 1567332851
4983, 1569894869
2726, 1572406093
3353, 1573398885
3318, 1573730254
3214, 1574128756
2972, 1574749516
3249, 1575485459
1219, 1576278144
4622, 1577483376
474, 1577823193
8492, 1616995628
1219, 1623755082
3170, 1624141998
5110, 1624970776
2627, 1625656558
3236, 1626298395
3305, 1626972561
3122, 1627355313
2883, 1627799916
3295, 1628085406
1219, 1628397591
1219, 1629756250
451, 1629803822
8492, 1650507932
1219, 1652489094
3171, 1653820537
5114, 1655978159
2607, 1657669054
3304, 1660654076
3354, 1660943484
2942, 1661915844
2836, 1662477459
3316, 1663709395
1219, 1665334143
1219, 1666520166
451, 1666839409
8492, 1698780659
1219, 1699049757
3166, 1699382746
4833, 1699712936
2468, 1700040378
3439, 1700368197
3388, 1700674887
2900, 1700920735
2687, 1701116009
3344, 1701311106
1219, 1701531719
1219, 1701722172
451, 1701771416
8957, 1756495881
1219, 1756775732
3163, 1757110526
4815, 1757476522
2496, 1757867759
