Data Size,Time in millisecond
9285, 2670
60, 8643329
60, 163875660
60, 254771026
60, 330088188
60, 437288520
60, 539794505
60, 615375793
60, 694819481
60, 769073062
61, 848493031
61, 917568246
366, 995507687
137, 1064399075
986, 1145414165
75, 1234823799
203, 1325008517
80, 1412466764
1056, 1475979556
2591, 1541622599
1166, 1598361266
189, 1604308157
49, 1614253471
262, 1632963538
475, 1644254470
266, 1651082599
666, 1699699695
49, 1699789415
261, 1699813875
280, 1717670333
306, 1753244165
92, 1818940170
49, 1819193368
133, 1819274288
217, 1819339046
320, 1822559596
979, 1885038709
49, 1885293949
132, 1885319109
206, 1899869364
271, 1924568073
64, 1936939302
49, 1937246115
181, 1959122038
275, 1993815867
328, 2019503275
588, 2080507297
49, 2081262024
275, 2081310719
311, 2081332816
409, 2098472295
83, 2156120973
49, 2156170660
296, 2156193144
545, 2157770317
518, 2194386706
601, 2242644896
49, 2242757307
379, 2259211483
676, 2330599601
506, 2360380677
104, 2400003567
49, 2400097452
205, 2400232386
472, 2451433282
432, 2482022410
65, 2527395579
49, 2527461223
222, 2527596148
400, 2602082063
405, 2619199491
65, 2668912376
49, 2669089819
462, 2669136812
965, 2689579881
679, 2718504141
65, 2771823283
49, 2771913367
343, 2771945366
1017, 2841869697
624, 2860826483
65, 2908425387
49, 2908550428
287, 2912616243
583, 2963036696
622, 3001000860
65, 3151845385
49, 3154513845
461, 3182914092
825, 3203314399
672, 3231476272
1382, 3338350480
73, 3367201144
49, 3367239700
603, 3367272308
1111, 3395017587
761, 3411224486
358, 3436395028
66, 3466212714
49, 3466254575
649, 3466305879
1025, 3482798380
826, 3501969394
308, 3528416842
66, 3568066764
49, 3568111144
712, 3568140817
1367, 3587802744
998, 3599283667
251, 3626956317
66, 3669333291
49, 3669455491
600, 3679322696
1405, 3716127582
1450, 3726108606
328, 3753097239
66, 3782242097
49, 3782275517
552, 3782292081
1230, 3799174630
1200, 3817990546
287, 3844846968
66, 3888509629
49, 3888576894
826, 3888614702
1965, 3918363819
1418, 3928713550
385, 3957167887
66, 3999072104
49, 3999198389
1107, 4014623495
2049, 4039632287
1613, 4051245022
445, 4060964367
66, 4102788138
49, 4102821109
1062, 4102834861
2756, 4110405437
1892, 4143018991
491, 4175344295
1406, 4276487079
80, 4317302114
66, 4328394941
49, 4332859003
728, 4340221058
2276, 4353110283
1698, 4373011526
540, 4393682416
66, 4403535310
49, 4405261410
652, 4412575023
1880, 4431404179
1716, 4452559304
638, 4470110436
3059, 4514211126
3957, 4544268048
3641, 4565967305
301, 4570136976
49, 4571087721
1031, 4603051436
77, 4629880425
49, 4640163354
43, 4642149455
66, 4649447291
49, 4653439651
784, 4661761350
2201, 4673991816
3507, 4694865189
817, 4706219603
466, 4713528018
544, 4728732235
497, 4735535284
331, 4741694465
49, 4742923740
1558, 4748614313
434, 4753430584
277, 4762679515
308, 4792789248
404, 4804179512
277, 4816207550
49, 4817058045
50, 4819704855
43, 4820919068
66, 4823501495
49, 4825220147
569, 4827535236
2265, 4833873085
49, 4835874865
43, 4837157715
66, 4839785647
49, 4844344929
319, 4846856119
2086, 4855685180
490, 4859416428
282, 4864126398
279, 4871005819
414, 4891836074
297, 4904113686
49, 4906570015
575, 4911957237
299, 4922631579
270, 4928792376
262, 4936716336
246, 4941567734
49, 4942899408
50, 4944190313
43, 4944805725
66, 4947313778
49, 4948540154
650, 4953145824
2410, 4957963148
1563, 4964098073
49, 4970793074
43, 4975735614
66, 4987662844
49, 4989230569
446, 4999044439
1607, 5010749454
1455, 5028865313
667, 5037995099
322, 5046139442
324, 5051335178
322, 5069627329
